person_id,name
62,브루스 윌리스
62,บรูซ วิลลิส
62,布鲁斯·威利斯
138,Quentin Jerome Tarantino
138,Квентин Тарантино
138,كوينتن تارانتينو
138,昆汀·塔伦蒂诺
138,เควนติน แทแรนติโน
138,クエンティン・タランティーノ
138,쿠엔틴 타란티노
138,Квентін Тарантіно
3122,Samantha Davies
3122,Samantha Davis
3122,Sammi Davis-Voss
3134,Tamlyn Naomi Tomita
3137,Paul Calderone
3133,Patricia Vonne Rodriguez
3133,Patricia Rodriguez
206,Джим Керри
206,占·基利
206,จิม แคร์รีย์
206,ジム・キャリー
206,جيم كاري
206,짐 캐리
57755,Woodrow Tracy Harrelson
57755,وودي هارلسون
57755,ウディ・ハレルソン
57755,Вуди Харрельсон
57755,우디 해럴슨
57755,伍迪·哈里森
57755,Вуді Гаррельсон
16866,JLo
16866,J.Lo
16866,Дженніфер Лопес
16866,Дженнифер Лопез
9287,Michael James Gubitosi
9287,Bobby Blake
9287,Lyman P. Docker
9287,Mickey Gubitosi
4887,Joseph G. Grifasi
4887,Joseph Grifasi
32287,Scott Nicolai Sowers
33658,Robert Lee Sudduth IV
33658,Skip Sudduth
47774,Vinny Pastore
47774,Vinnie Pastore
15029,Rico Colantoni
15029,"Enrico ""Rico"" Colantoni"
203801,Katharine Gill
8891,Джон Траволта
8891,جون ترافولتا
8891,ジョン・トラボルタ
8891,존 트래볼타
8891,จอห์น ทราโวลตา
8891,约翰·特拉沃尔塔
193,Eugene Allen Hackman
193,Eugene Alder
14343,Рене Руссо
518,Daniel Michael DeVito Jr.
518,Danny De Vito
9629,Jonathan Francis Gries
9629,Jon Francis
9629,Johnathan Gries
9629,John Gries
9629,Jonathan Gries
9629,Jonathon Gries
18686,Holly P. Hunter
18686,Holly Paige Hunter
18688,Harry Connick Jnr
18688,Joseph Harry Fowler Connick Jr.
60205,John M. Rothman
112013,Rain
112013,Jeong Ji-Hoon
112013,비
112013,정지훈
112013,Jung Ji-hoon
112013,Bi
2038,Наоми Харрис
61697,Kang Sung-Ho
19115,Linh Dan Pham
19115,Phạm Linh Đan
1257963,이준
1257963,李準
1257963,Joon Lee
1257963,Lee Jun
1257963,Lee Chang-seon
1157287,Yu Fang
1157287,Fang You
979342,Kylie Liya Goldstein
96226,Patrick Pinheiro
96226,Patrick Pinhiero
54789,Sean Patrick Flannery
2714,Lance Hendrickson
2714,Lance Henricksen
2714,Lance James Henriksen
2963,Nicolas Coppola
2963,尼古拉斯·凯奇
2963,Николас Кейдж
2963,Nicolas Kim Coppola
2963,นิโคลัส เคจ
2963,نيكولاس كيج
2963,니콜라스 케이지
2963,ニコラス・ケイジ
2963,Ніколас Кейдж
2963,Ніколас Кім Коппола
6108,Emily Proctor
6110,Graham S. Beckel
6110,Graham Stuart Beckel
2975,Larry Fishburne
2975,لورنس فيشبورن
2975,로런스 피시번
2975,ローレンス・フィッシュバーン
2975,Лоренс Фишберн
2975,勞倫斯·費許朋
32357,Nick Farrell
32357,Nicholas Frost
3968,Michael Christopher Sheen
12930,Gaby Hoffman
12930,Gabriella Hoffmann
12929,Roseann O'Donnell
3416,Demetria Gene Guynes
3416,Демі Джин Ґайнз
3416,Демі Мур
3416,Деми Мур
12139,Lolita Davidoviæ
12139,Lolita David
12139,Lolita Davidovitch
18269,Brendan James Fraser
18269,Brendon Fraser
10981,Fiona Mary Wilson
3930,Sarah Nicholls
54447,Sam West
2372,Ronald Perlman
2372,Ronald Francis Perlman
2372,Рон Перлман
2372,"Ronald N. ""Ron"" Perlman"
2372,Ronald N. Perlman
13687,J. C. Dreyfus
13687,Jean Claude Dreyfus
13687,Jean-Claude Dreyfuss
13846,Odile Malet
2407,Rufus Narcy
2407,Monsieur Rufus
13689,Tiky Holgado
13689,Tiki Holgado
13689,Rocky James
13689,Tiki Olgado
13689,Ticky
13689,Tiki
13689,Joseph Tiky
13689,Tiky
13689,Joseph Holgado
100861,Chris Huerta
100861,Kris Huerta
100861,Chris Huertas
100861,Cris Huertas
103119,Mapi Galan
103119,Mapy Galan
103119,Mappi Galán
77905,Lofti Yahya Jedidi
77905,Lotfi Yahya
77905,Lotfi Yahya-Jedidi
77905,Lotfi Yahyajedidi
240388,Thierry Gibaud
240388,Thierry Guibault
992717,Houng-Ham Chan
992717,Huong-Ham Chan
992717,Luong-Ham Chan
992717,Luon Ham Chau
992717,Luong Ham Chau
992717,Luong Ham-Chau
992717,Ham Cham Luong
992717,Ham Chau Luong
992717,Luong-Ham-Chau
17618,Frankie
17618,Franckie Pain
17618,Franckye Pain
17618,Frankye Pain
17618,Franky Pain
17618,Françoise Pain
97062,Dominique Chevallier
97062,Dominique
1330767,Babeth
1330767,Babeth Etienne
1330767,Élisabeth Etienne
643,巩俐
146097,李保田
143358,Li Xue-Jian
143358,李雪健
150153,傅彪
1160,Michele Pfeiffer
10477,George F. Dzundza
81726,Lorraine Tousaint
287,برد پیت
287,Бред Питт
287,Бред Пітт
287,Buratto Pitto
287,Брэд Питт
287,畢·彼特
287,ブラッド・ピット
287,브래드 피트
287,براد بيت
287,แบรด พิตต์
288,Jonathan Seda
291,Frank J. Gorshin
291,Frank John Gorshin Jr.
11154,Matthew Ross
11154,Matthew Brandon Ross
1077235,Carol A. Florence
7576,William Joseph Raymond
1387844,Anthony 'Chip' Briezen
1542805,Felix A. Pire
81692,Stephen W. Bridgewater
1611170,Janet L. Zappala
554094,Ron Sauve
554094,Ron Souve
554094,Ron Suave
1331,Хьюго Уивинг
2505,Jim Crowell
2505,Jamie Cromwell
1249,Penelope Alice Wilton
1249,Penelope Winton
83701,Alexandra Elizabeth Kingston
83701,"Alexandra Elizabeth ""Alex"" Kingston"
4038,سوزان سارندون
4038,수전 서랜던
4038,スーザン・サランドン
4038,ซูเซิน ซาแรนดอน
4038,蘇珊·莎蘭登
4038,Сьюзен Сарандон
2228,Шон Пенн
2228,숀 펜
2228,شون بن
2228,ショーン・ペン
2228,ฌอน เพนน์
2228,西恩·潘
2207,Lois Arlene Humbert
70851,Thomas Jacob Black
133,Питер Сарсгаард
25711,Kevin Conney
6574,Clarence J. Brown III
17866,Jon Avery Abrahams
56757,Eva Amurri
56757,Eva Maria Livia Amurri
56757,Eva Sarandon
56757,Eva Amurri-Sarandon
16460,Marcus L. Brown
16460,Marcus Brown
1411679,Anthony Michael Fredrick
1411679,Anthony M. Frederick
1411679,Anthony Frederick
1411679,T. Michael Frederick
1411679,Tony Frederick
1411679,Anthony Fredericks
1191341,Robert Elarton
1191341,Thomas Gowen
1796,Kirstie Louise Alley
1796,Kristie Alley
26472,Steven Guttenberg
