movie_id,genre_id
9386,53
9386,80
9386,9648
7984,18
59930,35
59930,18
59930,10749
15765,18
15765,10402
31643,35
6,28
6,53
6,80
329,12
329,878
10909,53
10909,80
507,28
507,80
507,18
507,53
34024,18
9593,12
9593,14
9593,28
9593,35
9593,10751
42580,35
42580,10751
22317,28
22317,35
22317,37
12121,35
2246,18
2246,80
10502,18
10440,35
10440,9648
9516,18
9516,28
9516,80
2320,28
2320,12
2320,18
2320,53
5879,18
5879,10749
83718,53
83718,35
83718,18
83718,10749
11971,18
11971,35
11971,10749
2625,18
2625,10749
31911,35
31911,10749
788,35
788,18
788,10751
21450,35
21450,18
11231,12
41588,35
41588,18
10447,28
10447,18
10447,878
10447,53
31586,35
31586,18
31586,10751
31586,14
31586,878
9300,10749
9300,18
9300,14
9559,80
9559,18
9559,53
9800,18
713,18
713,10749
8291,18
8291,10749
18133,18
25557,27
25557,878
25557,53
22588,35
22588,80
22588,18
22588,10402
22588,9648
22588,10749
10872,35
1245,18
1245,10749
11858,35
11858,10752
7007,28
7007,18
7007,53
10467,35
10467,10749
5550,28
5550,12
5550,80
5550,878
5550,53
8005,35
2088,28
2088,80
2088,18
2088,53
10412,28
10412,18
10412,53
47889,18
47889,10749
14534,18
56583,18
41878,18
424,18
424,36
424,10752
14291,18
11236,18
11236,10751
11236,14
11592,35
11592,80
11592,27
11592,53
10445,18
10445,10749
695,35
695,18
43535,18
43535,10751
28795,27
28795,53
23210,9648
23210,18
23210,35
858,35
858,18
858,10749
867,18
867,53
78,878
78,18
78,53
13203,35
13203,18
13203,10749
10442,35
10442,80
10442,10749
11074,80
11074,28
11074,9648
11074,53
47953,18
47953,36
9607,12
9607,35
9607,10751
9607,14
17585,28
17585,12
17585,53
17585,80
9057,28
9057,53
20967,18
20967,10402
10635,35
10635,18
10635,10749
9479,14
9479,16
9479,10751
11969,28
11969,12
11969,18
11969,36
11969,37
319,28
319,53
319,80
319,10749
15139,14
15139,878
15139,10751
15139,16
11446,35
