id,company_name
29003,BloodWorks
911,Roadside Attractions
4400,Universal Pictures UK
853,Respiro
4099,Cactus Three
89635,High Sierra Carpeting
37845,Principato-Young Entertainment
20476,Vengeance Productions Pty. Ltd.
858,Tessalit Productions
46052,SW7D Productions
1861,Polish Brothers Construction
1033,Victoires International
1031,Filmazure
20394,Young Hannibal Productions
22039,Scarecrow Productions
24133,Night and Day Pictures
23890,Hal Lieberman Company
4669,Covers & Co.
28617,Cinédis
19851,Pitbull Pictures
77305,Dulce Compania
15878,Fondo de Inversión y Estímulos al Cine (FIDECINE)
4290,Moonshot Pictures
46875,Nitrogen Studios Canada
5115,Channel Z Films
5114,Beautiful Motion Pictures LLC
5113,120dB Films
37134,Tecmo
12317,Team Ninja
3240,Artfire Films
11610,Absurda
11608,Fundacja Kultury
747,Inland Empire Productions
12262,Dragon Studios
12261,The Colleton Company
12259,WIP
696,Rogue Marble
2735,Mid Atlantic Films
22458,BoZ Productions
12243,Lux Compagnie Cinématographique de France
2940,Condemned Productions
89633,All Lit Up Productions
18479,Corduroy Films
92794,Documentary Channel
8089,Animal Logic
2451,CrossDay Productions
1224,Intrepid Pictures
95593,Santa Frost Productions
2875,Ikiru Films
12364,Deutsche Film (DEFA)
2038,Solimane Productions
1990,Weltecho
3318,Xingu Films
1617,Q Television
52145,Crying Box Productions
8748,Authorized Pictures
20370,Tatfilm
2742,Disarming Films
716,Standard Film Company
48688,Maloof Motion Pictures
3923,Strand Releasing
6452,Dentsu
1991,Motion Investment Group
7289,"Weinstein Company, The"
23653,Vortex/Henkel/Hooper
7470,Esperanto Filmoj
20567,Four By Two Productions
3045,Sony Pictures Releasing
60473,Gordonstreet Pictures
23238,VIP 4 Medienfonds
6277,Skydance Productions
16016,Eurofilm Stúdió
2665,Amour Fou Filmproduktion
4279,IDT Entertainment
2885,Starz Animation
7370,Loki Films
20992,Ternion Pictures
19933,Oil Flick Films No.2
19931,TV3 Television Network Ireland
19929,EMC Produktion
12696,Regent Capital
2896,Platinum Equity
11201,Rafter H Entertainment
848,Cofimage 16
2292,Original Media
7169,Park Ex Pictures
2378,Offspring Entertainment
1032,Pirol Stiftung
26146,Chaotic Productions
1896,Pierce-Williams
84419,Legendary Entertainment
1241,Five Star Production
23186,Teton Films
52844,Motion Picture ETA Produktionsgesellschaft
771,Mandate Pictures
290,Ingenious Media
2251,Sony Pictures Animation
2868,every tribe entertainment
57625,RGM Films
2867,Bearing Fruit Entertainment
94941,Sinomovie
97068,Babel Productions Inc.
11258,Central Films
838,Paramount Vantage
19651,Blue Sky Films
3916,Cold Iron Pictures
51343,Arte / Cofinova 3
3414,Banger Productions
35317,Finola Dwyer Productions
100867,C.O.R.E. Digital Pictures
34338,Number 9 Films
76795,Columbia Pictures Film Production Asia Limited
20637,Commission du Film France
12387,Tohokushinsha Film
11733,Pariah
2777,Black & White Productions
9321,Forthcoming Productions
2796,Wild West Picture Show Productions
79030,XM3 Service
6759,Adult Swim
79029,X3US Productions
19927,Government of Malta
19943,Synthesis Entertainment
9177,Eisei Gekijo
2297,Class 5 Films
3608,After Dark Films
22102,The Fourth Production Company Film Group
8211,Vivendi
58323,C.O.R.E. Feature Animation
3641,Silver Nitrate Pictures
8926,Hoot Productions LLC
12352,Wallimage
11199,Scope Pictures
211,Film Finance Group
2203,Onyx Films
6971,Bergman Lustig productions
5227,Cinema Gypsy Productions
1708,Starbucks Entertainment
7653,Zininsa Film Production
20395,Carthago Films S.a.r.l.
2116,VIP Medienfonds 4
1550,Evamere Entertainment
51134,Marion's Films
54512,Tiara Blu Films
337,Creado Film
6408,International Traders
5754,Rat Pack Filmproduktion
444,Dune Entertainment
566,National Film & Video Foundation of South Africa
565,UK Film & TV Production Company
95295,Crossroads Entertainment (II)
9037,Yari Film Group Releasing
449,Virtual Studios
2250,SCOPE Invest
31599,Film & Entertainment VIP Medienfonds 2 GmbH & Co. KG
10885,Equity Pictures Medienfonds GmbH & Co. KG III
2227,True Grit Productions
68096,LHR Productions Inc.
2778,City Lights Pictures
89632,S E Productions Inc.
13229,Breath
8390,Wilco Co.
3528,Thunder Road Pictures
42272,RTL
4383,Maverick Entertainment Group
48788,Practical Pictures
76721,Nanny McPhee Productions
1973,Three Strange Angels
89041,East Midlands Media Initiative
23310,Karol Film Productions
12330,WFI Productions Ltd.
12328,3 Dogs and a Pony
12326,Tanlay
12325,OLC / Rights Entertainment
74192,Eketahuna LLC
21248,Goldkind Filmproduktion
2149,Noble Nomad Pictures
2148,Flagship International
2146,David Hamilton Productions
7580,Kanbar Entertainment
17793,Hostel LLC
1631,Raw Nerve
57627,Red Chair Films
7276,Screen East
13877,Ortus Films
1690,Samsung Venture Capital
1688,Moho Films
946,CJ Capital Investment
3545,Big Screen Entertainment Group
3407,Shanghai Film Group
44517,Power
76714,JC 23 Entertainment
87840,Dozen Canada Productions
2575,21 Laps Entertainment
145,Gaumont Columbia Tristar Films
2322,The Javelina Film Company
2316,Compañía Iberoamericana de TV
703,Razor Film Produktion GmbH
93,Lumer Films
63566,Rebel Park Pictures
21856,Holly Wiersma Productions
63565,Twopoundbad
46060,Bill/Phillips
46059,Italo/Judeo Productions
2164,Richmond Productions
75616,Time Productions
3396,O.N.C. Entertainment
21280,Black Gold Films (II)
2224,Plum Pictures
11370,Michael De Luca Productions
84,Tree Line Films
54336,Cent Productions Inc.
7259,Asya Film
2305,Esselte Video
2304,Finnkino Oy
10441,The Bureau
2998,Infogrames Entertainment
19934,Motion Picture KAPPA Produktionsgesellschaft
2899,Revolver Pictures Co.
5435,Titan Talent & Entertainment
5433,Cine Pantera
1047,Younger Than You
1046,Prime Film Productions LLC
51997,Talent Network Media GmbH
